slug	name	status	font-display	font-body	radius	radius-lg	radius-pill	border-w	grad-angle	shadow-out	shadow-in	fs-lead	fs-body	fs-sm	fs-xs	track-tight	track-btn	touch
sharp-racing	Sharp Racing	locked	'Chakra Petch', system-ui, sans-serif	'Inter', system-ui, sans-serif	3px	4px	4px	1.5px	100deg	0 1px 2px rgba(0,0,0,0.55), 0 2px 6px rgba(0,0,0,0.35)	inset 0 2px 4px rgba(0,0,0,0.5)	1rem	0.875rem	0.8rem	0.7rem	-0.01em	0.02em	42px
grounded-dashboard	Grounded Dashboard	draft	'Inter', system-ui, sans-serif	'Inter', system-ui, sans-serif	8px	12px	999px	1px	160deg	0 1px 3px rgba(0,0,0,0.3), 0 4px 12px rgba(0,0,0,0.18)	inset 0 1px 3px rgba(0,0,0,0.28)	1.05rem	0.94rem	0.85rem	0.75rem	-0.02em	0	44px
mobile-friendly	Mobile Friendly	draft	'Manrope', system-ui, sans-serif	'Manrope', system-ui, sans-serif	6px	10px	999px	1px	180deg	0 2px 8px rgba(0,0,0,0.22), 0 8px 20px rgba(0,0,0,0.14)	inset 0 1px 4px rgba(0,0,0,0.24)	1.15rem	1.02rem	0.92rem	0.8rem	-0.015em	0	52px
